Number,Project Title,Donor (s),Status,Start Date,End Date,Country,Ocean-based Region,Beneficiaries ,Implementing Agency,Total Project Cost,Co-funding entities,Category,Team Leader,Further Information
134,Adaptation to climate change in Quirimbas national park,Fonds Français pour l'Environnement Mondial (FFEM) / AFD,Closed,2010,2014,Mozambique,Indian Ocean,Republic of Mozambique,Ministry of Tourism,US$ 8.9 million,,Climate change resilience,,http://www.afd.fr/home/pays/afrique/geo-afr/mozambique/projets-mz/environnement-mz/Parc-Quirimbas
135,Integrated Management of the Ilha Grande Bay Ecosystem,GEF Trust Fund,Closed,2011,2016,Brazil,Atlantic Ocean,,Food and Agriculture Organisation; Rio de Janeiro State Environmental Management Agency (FEEMA),"US$ 27,450,700","GEF - US$ 2,300,000, Co-financing US$ 25,050,700",Marine Protected Areas (PA) management,,https://www.thegef.org/project/integrated-management-ilha-grande-bay-ecosystem
136,CBSP - Integrated management of mangrove and associated wetlands and coastal forests ecosystems of the Republic of Congo,GEF Trust Fund,Closed,2012,2016,Congo,Atlantic Ocean,,"Food and Agriculture Organisation; Direction générale de l'environnement (DGE); Direction générale de l'économie forestière (DGEF), Délégation générale de la recherche scientifique et technologique (DGRST); International Tropical Timber Organisation (ITTO)","US$ 3,404,200","GEF - US$ 950,000, Co-financing US$ 2,394,200",Marine Protected Areas (PA) management,,https://www.thegef.org/project/cbsp-integrated-management-mangrove-and-associated-wetlands-and-coastal-forests-ecosystems
137,PAS: Strengthening Coastal and Marine Resources Management in the Coral Triangle of the Pacific - under the Pacific Alliance for Sustainability Program,GEF Trust Fund,Closed,2010,2015,,Pacific Ocean,,"Asian Development Bank, CTI National Coordiating Committees of Governments of Papua New Guinea, Solomon Islands, and Timor Leste, plus Governments of Fiji and Vanuatu","US$ 37,267,183","GEF - US$ 13,118,183, Co-financing US$ 23,849,000",Marine Protected Areas (PA) management,,https://www.thegef.org/project/pas-strengthening-coastal-and-marine-resources-management-coral-triangle-pacific-under
138,--Belize Reefs for Life!--  Targeting the  formalization of the  Marine Conservation and  Climate Adaptation  Initiative,Oak Foundation,Closed,2011,2014,Belize,Pacific Ocean,,"Nature Conservancy, The","US$ 715,845","Oak Foundation - US$ 519,300; Ann Ray Conservation Trust - US$ 98,519; TNC Discretionary - US$ 98,026",Climate Change Resilience,,www.tnc.org
139,Public Interest Law as a Tool for Sustainable  Development in  Mesoamerica,Oak Foundation,Progress Report,2013,2016,Mesoamerica,Pacific Ocean,,Environmental Law Alliance Worldwide,"US$ 476,000","Oak Foundation - US$ 300,000; Summit Foundation - US$ 170,000; Individual Donor - US$ 6,000",Communications and Awareness (CA),,www.elaw.org
140,Core support 2013-15,Oak Foundation,Closed,2013,2015,USA,Atlantic Ocean/ Pacific Ocean,,Oceana Inc,"US$ 28,731,326.20","Oak Foundation - US$ 8,600,000; Bloomberg Philanthropies - US$ 6,616,000; Marisla Foundation - US$ 2,200,000; Sandler Foundation, The - US$ 2,000,000; Wyss Foundation, The - US$ 2,100,000; Leonardo DiCaprio Foundation, The - US$ 1,000,000; Arcadia Fund - US$ 1,000,000; Robertson Foundation - US$ 1,000,000; The William and Flora Hewlett Foundation - US$ 1,000,000; European Commission - US$ 219,761; MEPA - US$ 142,636; Nikita Foundation, The - US$ 412,177; Adessium Foundation - US$ 654,550; Oceans 5 - US$ 559,072; Tiffany & Co Foundation - US$ 250,000; Rockfeller Foundation - US$ 250,000; Spanish Ministry of the Environment - US$ 197,797; Waterloo Foundation, The - US$ 350,216; Cinco Hermanos Fund - US$ 100,000; Waitt Foundation - US$ 100,000; Fundacion Biodiversidad - US$ 101,751; Paul M. Angel Family Foundation - US$ 165,000; David & Lucile Packard Foundation, The - US$ 125,000",Communications and Awareness (CA),,www.oceana.org
141,Unrestricted Programme  Grant: Global Ocean  Legacy,Oak Foundation,Closed,2013,2016,USA,Atlantic Ocean/ Pacific Ocean,,Pew Charitable Trusts,"US$ 14,460,000","Oak Foundation - US$ 1,500,000; Lyda Hill - US$ 5,000,000; Tiffany & Co Foundation - US$ 2,500,000; Bloomberg Philanthropies - US$ 2,500,000; Waitt Foundation - US$ 1,460,000; Robertson Foundation - US$ 1,500,000",Communications and Awareness (CA),,www.pewtrusts.org
142,Global Ocean Legacy,Oak Foundation,Progress Report,2016,2017,USA,Atlantic Ocean/ Pacific Ocean,,Pew Charitable Trusts,"US$ 7,500,000","Oak Foundation - US$ 500,000; Pew Charitable Trusts - US$ 5,000,000; Lyda Hill - US$ 1,000,000; Tiffany & Co Foundation - US$ 500,000; Robertson Foundation - US$ 500,000",Communications and Awareness (CA),,www.pewtrusts.org
143,Healthy Reefs for Healthy  People: Evaluation of  Ecosystem Health and  Management Response,Oak Foundation,Closed,2012,2015,Guatemala,Pacific Ocean,,Mesoamerican Reef Fund,"US$ 760,852","Oak Foundation - US$ 459,000; Summit Foundation - US$ 98,083; Summit Foundation - US$ 108,669; JRS Biodiversity Foundation - US$ 25,100; The Oak Hill Fund - US$ 70,000",Communications and Awareness (CA),,www.marfund.org
144,Safeguarding the Wellbeing of the Maya People: Stewardship of Territories and Resources,Oak Foundation,Monitoring,2015,2017,Belize,Pacific Ocean,,Julian Cho Society (JCS),"US$ 490,125","Oak Foundation - US$ 121,760; Julian Cho Society - US$ 18,365; Indigenous Peoples Law and Policy Program - US$ 350,000",Communications and Awareness (CA),,
145,Cordelia Banks:  Preserving and  Connecting a Coral Oasis,Oak Foundation,Closed,2011,2016,Honduras,Pacific Ocean,,Coral Reef Alliance,"US$ 632,287","Oak Foundation - US$ 370,700; Bloomberg Philanthropies - US$ 146,762; Summit Foundation - US$ 114,825",Conservation,,www.coral.org
146,Marine Conservation  Action Fund -Renewal  2012-2015,Oak Foundation,Closed,2012,2015,USA,Atlantic Ocean/ Pacific Ocean,,New England Aquarium,"US$ 304,164","Oak Foundation - US$ 150,000; Curtis and Edith Munson Foundation - US$ 40,000; Conservation International - US$ 40,000; New England Aquarium - US$ 47,094; Anonymos Foundation US$ 10,000",Conservation,,www.neaq.org
147,Seychelles: Financing  Conservation Action,Oak Foundation,Progress Report,2015,2016,Seychelles,Indian Ocean,,"Nature Conservancy, The","US$ 26,500,000","Oak Foundation - US$ 1,000,000; Waitt Foundation - US$ 1,000,000; Grantham Foundation - US$ 1,000,000; Sandra Turnbull - US$ 500,000; The Nature Conservancy - US$ 23,000,000",Conservation,,www.tnc.org
148,Mesoamerican Reef  Leadership Programme,Oak Foundation,Closed,2011,2013,Mexico,Pacific Ocean,,"Fondo Mexicano para la  Conservation de la  Naturaleza, A.C.","US$ 967,647","Oak Foundation - US$ 360,000; Summit Foundation - US$ 373,647; Fondo Mexicano para la Conservacion - US$ 120,000; Tiffany & Co Foundation - US$ 50,000; TreadRight - US$ 20,000; Global Giving individual donations - US$ 7,500",Conservation,,www.fmcn.org/www.ma..
149,Providing  Continuity--Taking SACD  to the Next Level,Oak Foundation,Closed,2011,2013,Belize,Pacific Ocean,,Sarteneja Alliance for  Conservation and  Development,"US$ 214,492","Oak Foundation - US$ 75,000; Protected Areas Conservation Trust - US$ 12,000; COMPACT - US$ 50,000; Protected Areas Conservation Trust (PACT) - US$ 14,768; US Fish and Wildlife Service - US$ 24,936; Friends of World Heritage - US$ 10,288; Peace Corps - US$ 12,500; Wildtracks - US$ 15,000",Conservation,,
150,“Strengthening Marine  Conservation in Southern  Belize”,Oak Foundation,Monitoring,2013,2017,Belize,Pacific Ocean,,Southern Environmental  Association,"US$ 1,051,880","Oak Foundation - US$ 750,000; MNRE/UNDP - US$ 184,380; PACT - US$ 50,000; MAR Fund - US$ 62,500; Bodhi Tree Foundation - US$ 5,000",Conservation,,www.seabelize.org
151,GEF SGP/COMPACT  Re-granting of OAK  Funds towards protecting  and conserving the  Belize Barrier Reef  Reserve System World  Heritage Site,Oak Foundation,Progress Report,2013,2015,Belize,Pacific Ocean,,United Nations  Development Program-  COMPACT,"US$ 675,700","Oak Foundation - US$ 326,000; GEF/SGP/ COMPACT - US$ 349,700",Conservation,,www.undp.org and  http://sgp.undp.org/
152,Safeguarding Biodiversity  within the Belize Barrier  Reef Reserve System,Oak Foundation,Progress Report,2014,2016,Belize,Pacific Ocean,,Belize Audubon Society,"US$ 290,480","Oak Foundation - US$ 235,000; Belize Audubon Society - US$ 55,480",Conservation,,www.belizeaudubon.org
153,Design For Sustainable  Fish - Outreach (Phase 2),Oak Foundation,Closed,2012,2012,USA,Atlantic Ocean/ Pacific Ocean,,California Environmental Associates,"US$ 373,530","Oak Foundation - US$ 120,780; David and Lucile Packard Foundation - US$ 126,750; The Walton Family Foundation - US$ 126,000",Fisheries Management,,http://www.ceaconsulti..
154,Mesoamerica Sustainable  Fisheries Initiative,Oak Foundation,Closed,2012,2015,Honduras,Pacific Ocean,,Environmental Defense Inc,"US$ 1,060,346","Oak Foundation - US$ 600,000; Summit Foundation - US$ 125,000; Individual Donor - US$ 135,000; Other Individual Donors - US$ 200,346",Fisheries Management,,www.edf.org
155,Sustainable Fisheries and  Effective Management of  Marine Protected Areas in  Belize: Leveraging Field  Success for National  Solutions,Oak Foundation,Closed,2012,2015,Belize,Pacific Ocean,,Wildlife Conservation  Society,"US$ 1,531,633","Oak Foundation - US$ 1,415,000; Summit Foundation - US$ 86,345; WCS Contribution to Belize Program - US$ 30,288",Fisheries Management,,www.wcs.org
156,Improving Fisherfolk  Well-­being and Building  Local Leadership to  Conserve the Bi-national  Amatique Bay Seascape,Oak Foundation,Closed,2013,2016,Guatemala,Pacific Ocean,,EcoLogic Development  Fund,"US$ 445,816.66","Oak Foundation - US$ 150,000; Wait Foundation - US$ 10,000; Paul M Angell - US$ 15,000; SATIIM - US$ 43,997; Local Beneficiary Support - US$ 19,104; EcoLogic - US$ 217,714",Fisheries Management,,www.ecologic.org
157,Mesoamerican  Sustainable Fisheries  Initiative,Oak Foundation,Monitoring,2015,2017,Honduras,Pacific Ocean,,Environmental Defense Inc,"US$ 342,500","Oak Foundation - US$ 200,000; Summit Foundation - US$ 27,500; Alexander - US$ 115,000",Fisheries Management,,www.edf.org
158,Coastal Planning and  Sports Fishing  Conservation  Management: Building  Capacity for the Coastal  Zone Management  Institute,Oak Foundation,Closed,2011,2013,Belize,Pacific Ocean,,Belize Coastal Zone Management Authority and Institute,"US$ 175,267","Oak Foundation - US$ 100,000; Summit Foundation - US$ 52,850; WWF - US$ 12,525; CZMAI - US$ 9.892",Fisheries Management,,www.coastalzonebelize.org
159,Restoring the natural  capital of coral reefs for  sustainable fisheries in  Mexican Caribbean  waters,Oak Foundation,Closed,2011,2013,Mexico,Pacific Ocean,,Comunidad y  Biodiversidad A.C. (COBI),"US$ 917,268","Oak Foundation - US$ 220,000; Summit Foundation - US$ 426,808; Marisla - US$ 50,000; MARFund/ NOAA/ FNWN - US$ 34,000; Packard Foundation - US$ 150,000; TNC/ Fundacion Hernandez - US$ 36,460",Fisheries Management,,www.cobi.org.mx
160,Developing Integrated  Solutions for Sustainable  Fisheries Management in  the Honduran Caribbean,Oak Foundation,Progress Report,2013,2016,Honduras,Pacific Ocean,,Centro de Ecologia Marina de Utila,"US$ 1,495,569","Oak Foundation - US$ 350,000; Summit Foundation - US$ 756,277; NOAA - US$ 62,050; National Gographic Society - US$ 28,000; Summit - US$ 299,242",Fisheries Management,,www.utilaecology.org
161,"Establishing a Network of  Fish Refuges in Quintana  Roo, Mexico through  Multi-sector  Collaboration",Oak Foundation,Progress Report,2013,2016,Mexico,Pacific Ocean,,Comunidad y  Biodiversidad A.C. (COBI),"US$ 1,049,122","Oak Foundation - US$ 300,000; Interamerican Foundation - US$ 266,232; Packard Foundation - US$ 300,000; Fundacion Hernandez - US$ 93,890; MARFund - US$ 39,000; EDF - US$ 50,000",Fisheries Management,,www.cobi.org.mx
162,"Capacity Building for  Sustainable Resource  Use, Fishery Alternatives  and Technical Support for  Members of the Belize  Federation of Fishers",Oak Foundation,Closed,2014,2016,Belize,Pacific Ocean,,Belize Federation of Fishers,"US$ 152,390","Oak Foundation - US$ 89,000; COMPACT - US$ 23,500; Members Association - US$ 30,000; CANARI - US$ 9,890",Fisheries Management,,www.bffishers.org
163,Stewardship in the Gulf of  Honduras: Leadership  for Resource  Management,Oak Foundation,Progress Report,2013,2017,Honduras,Pacific Ocean,,Quebec Labrador Foundation Inc,"US$ 118,800","Oak Foundation - US$ 100,000; Moody Fund - US$ 6,800; Boston Foundation - US$ 12,000",Marine Protected Areas (PA) management,,
164,Human Dimensions of  Large Scale Marine  Protected Areas,Oak Foundation,Monitoring,2014,2017,USA,Atlantic Ocean/ Pacific Ocean,,Colorado State University,"US$ 575,017","Oak Foundation - US$ 449,953; Duke University - US$ 55,539; University of Guelph - US$ 62,087; Colorado State University - US$ 7,438",Marine Protected Areas (PA) management,,http://www.colostate.ed..
165,Belize Marine Ecology  Program: 2014-2016  Program Extension,Oak Foundation,Progress Report,2014,2016,Belize,Pacific Ocean,,Ecology Project  International,"US$ 616,350","Oak Foundation - US$ 300,000; Chip petersen - US$ 10,000; Hopkins Bay Resort - US$ 5,000; US Student Tuition - US$ 296,550; BZ Student Tuition - US$ 4,8000",Marine Protected Areas (PA) management,,www.ecologyproject.org
166,Marine ecosystem review  and associated projects  in 3 countries,Oak Foundation,Progress Report,2014,2017,France,Indian Ocean/ Pacific Ocean,,Foundation Esemble,"US$ 1,191,658","Oak Foundation - US$ 1,000,000; Foundation Ensemble - US$ 191,658",Marine Protected Areas (PA) management,,http://www.fondationen..
167,Building Support for An  Effective National  Protected Areas System,Oak Foundation,Closed,2011,2014,Belize,Pacific Ocean,,Protected Areas  Conservation Trust,"US$ 530,403","Oak Foundation - US$ 200,000; PACT - US$ 74,701; Ministry of Fisheries, Forestry and Sustainable Development - US$ 8,000; UNDP/ SNC.PAS - US$ 247,702",Marine Protected Areas (PA) management,,
168,Advocating for the  Enforcement of Protected  Areas Laws,Oak Foundation,Closed,2011,,Belize,Pacific Ocean,,Ya'axche Conservation  Trust,"US$ 142,324","Oak Foundation - US$ 75,000; Protected Areas Conservation Trust - US$ 67,324",Marine Protected Areas (PA) management,,
169,"Strengthening SACD's  Capacity to Improve  Marine Resource  Management  Effectiveness at Local,  National and  Trans-boundary Level",Oak Foundation,Progress Report,2013,2017,Belize,Pacific Ocean,,Sarteneja Alliance for  Conservation and  Development,"US$ 832,545","Oak Foundation - US$ 150,000; KFW - US$ 550,557; Protected Areas Conservation Trust - US$ 30,000; Wildtracks - US$ 45,525; Peace Corps - US$ 12,500; Blue Ventures - US$ 37,500; MAR Leadership - US$ 6,463",Marine Protected Areas (PA) management,,
170,Contributing to the  conservation of the  Mesoamerican Reef  System through holistic  management of the Port  Honduras Marine Reserve  as a model MPA,Oak Foundation,Closed,2013,2015,Belize,Pacific Ocean,,Toledo Institute for  Development and the  Environment,"US$ 823,962","Oak Foundation - US$ 581,500; KFW-Marfund - US$ 128,833; GEF SGP - US$ 2,662; DISNEY - US$ 4,058; GCFI/NOAA - US$ 28,500; MARFUND - US$ 17,611; NEBL - US$ 5,827; NFWF - US$ 7,172; Summit Foundation - US$ 17,112; Turtle Survival Alliance - US$ 2,477; UNICEF - US$ 20,143; PACT RG - US$ 2,290; Seacology - US$ 30,000; TIDE Tours - US$ 2,500",Marine Protected Areas (PA) management,,
171,Strengthening the Financial Sustainability of  the National Protected  Areas System,Oak Foundation,Progress Report,2014,2016,Belize,Pacific Ocean,,Protected Areas  Conservation Trust,"US$ 657,000","Oak Foundation - US$ 130,000; Protected Areas Conservation Trust - US$ 100,000; GEF/ SNC Project - US$ 229,000; GIZ Selva Maya Programme - US$ 48,000; Ministry of Forestry, Fisheries and Sustainable Development - US$ 150,000",Marine Protected Areas (PA) management,,
172,Creating a World-class  Marine Science Research  Center in Turneffe,Oak Foundation,Closed,2011,2015,Belize,Pacific Ocean,,University of Belize,"US$ 685,000","Oak Foundation - US$ 400,000; Bertarelli Foundation - US$ 85,000; University of Belize - US$ 200,000",Monitoring and Research,,
173,Environmental  Governance and Conflict  Management in Belize,Oak Foundation,Progress Report,2013,2017,Belize,Pacific Ocean,,Syracuse University,"US$ 373,920","Oak Foundation - US$ 218,500; Syracuse University - US$ 155,420",Policy and Legislation (PL),,www.maxwell.syr.edu/p..
174,Creating a Marine Park in the Cook Islands,Oceans5,Closed,2013,2016,Cook Islands,Pacific Ocean,,The Cook Islands,"US$ 1,145,000","Te Ipukarea Society, Marae Moana Establishment Trust",Communications and Awareness (CA),,http://oceans5.org/project/protecting-the-cook-islands-2/
175,Protecting the Seychelles,Oceans5,Closed,2014,2015,Seychelles,Indian Ocean,,,"US$ 500,000","The Nature Conservancy (TNC), Island Conservation Society",Conservation,,http://oceans5.org/project/protecting-the-seychelles/
176,Expanding Pacific Remote Islands Monument,Oceans5/ Centre for American Progress,Closed,2014,2015,Pacific Remote Islands,Pacific Ocean,,,"US$ 40,000",,Conservation,,http://oceans5.org/project/expanding-pacific-remote-islands-monument/
177,Protecting Remote British Overseas Territories,Oceans5/ Royal Society for the Protection of Birds,Closed,2014,2015,British Overseas Territories,Indian Ocean,,,"US$ 165,000",,Policy and Legislation (PL),,http://oceans5.org/project/protecting-remote-british-overseas-territories/
178,Coral reef conservation and coastal zone management program by Wildlife research and conservation,UNDP,Closed,2013,2015,Sri Lanka,Indian Ocean,,Grantee: Wildlife Research and Conservation Trust,"US$ 3,880,000","Grant amount: US$ 46,598; Co-financing in-kind: US$ 78,065",Conservation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=21288&Itemid=272
179,Wetlands Conservation and Coral Reef Monitoring for Adaptation to Climate Change,World Bank,Closed,2012,2014,Maldives,Indian Ocean,Government of Maldives,Ministry of Housing and Environment,US$ 3.91  million,Maldives Climate Change Trust Fund - US$ 3.8 million … Government of Maldives - US$ 80k,Conservation,Priti Kumar,http://projects.worldbank.org/P128278/wetlands-conservation-coral-reef-monitoring-adaptation-climate-change?lang=en&tab=details
180,Support to Western Indian Ocean Marine Science Assiciation - WIOMSA,Ministry of the Environment and Energy Section for natural resources (Sweden),Closed,2000,2011,"Somalia, Kenya, Tanzania, Mozambique, South Africa, Seychelles, Mauritius, Reunion, Comoros and Madagascar",Indian Ocean,,,"US$ 14,450,000",,Monitoring and Research,,
181,Integrated Ecosystem Management in 3 Priority Ecoregions,GEF Trust Fund,Closed,2001,2010,Mexico,Pacific Ocean,,UN Development Programme; Secretariat of Environment; Natural Resources Fisheries,"US$ 77,367,066","GEF - US$ 15,300,000, Co-financing US$ 61,715,066",Marine Protected Areas (PA) management,,https://www.thegef.org/project/integrated-ecosystem-management-3-priority-ecoregions
182,Consolidation of Ecosystem Management and Biodiversity Conservation of the Bay Islands,GEF Trust Fund,Closed,2003,2011,Honduras,Pacific Ocean,,Inter-American Development Bank; Ministry of Tourism (Secretaria de Turismo),"US$ 16,620,000","GEF - US$ 2,500,000, Co-financing US$ 13,800,000",Marine Protected Areas (PA) management,,https://www.thegef.org/project/consolidation-ecosystem-management-and-biodiversity-conservation-bay-islands
183,Coral Reef Targeted Research and Capacity Building for Management Project,World Bank,Closed,2004,2010,East Asia and Pacific,Pacific Ocean,University of Queensland,University of Queensland,US$ 22.3 million,Government of Australia - US$ 2.6 million… GEF - US$ 11 million… Foreign Universites - US$ 3.2 million … IBRD Fund - US$ 3 million … University of Queensland UD$ 2.5 million,Monitoring and Research,Harideep Singh,http://projects.worldbank.org/P078034/coral-reef-targeted-research-capacity-building-management-project?lang=en&tab=details
184,Coral Reef Rehabilitation and Management Project II,World Bank,Closed,2004,2011,Indonesia,Pacific Ocean,Government of Indonesia,Government of Indonesia,US$ 7.5 million,Global Environment Project,Marine Protected Areas (PA) management,Marea Eleni Hatziolos,http://projects.worldbank.org/P071318/coral-reef-rehabilitation-management-project-ii?lang=en&tab=financial
185,Coral Reef Rehabilitation and Management Program Phase II,World Bank,Closed,2004,2011,Indonesia,Pacific Ocean,Government of Indonesia,Government of Indonesia,US$ 67.1 million,IBRD - US$ 33.2 … IDA US$ 23 million … Government of indonesia US$ 10.9 million,Marine Protected Areas (PA) management,Harideep Singh,http://projects.worldbank.org/P071316/coral-reef-rehabilitation-management-program-phase-ii?lang=en&tab=details
186,Coastal Resilience to Climate Change: Developing a Generalizable Method for Assessing Vulnerability and Adaptation of Mangroves and Associated Ecosystems,GEF Trust Fund,Closed,2005,2010,Global,Global,,UN Environment Programme; WWF-US,"US$ 2,000,000","GEF - US$ 975,000, Co-financing US$ 1,000,000",Climate Change Resilience,,https://www.thegef.org/project/coastal-resilience-climate-change-developing-generalizable-method-assessing-vulnerability
187,Andaman and Nicobar Islands: Ecologically-Sustainable Island Development,GEF Trust Fund,Closed,2006,2015,India,Indian Ocean,,UN Development Programme; Ministry of Environment and Forests (MoEF),"US$ 9,732,200","GEF - US$ 3,388,600, Co-financing US$ 5,998,600",Promoting sustainable living and alternative livelihoods (SL),,https://www.thegef.org/project/andaman-and-nicobar-islands-ecologically-sustainable-island-development
188,Addressing Trandboundary Concerns in the Volta River Basin and its Downstream Coastal Area,GEF Trust Fund,Closed,2006,2013,Ghana,Atlantic Ocean,,"UN Environment Programme; UNOPS/UCC-Water, Minsitery of Environment Ghana, Benin, Burkina Faso, Cote d'Ivoire, Mali, Togo","US$ 16,742,111","GEF - US$ 5,347,380, Co-financing US$ 11,022,231",Policy and Legislation (PL),,https://www.thegef.org/project/addressing-transboundary-concerns-volta-river-basin-and-its-downstream-coastal-area
189,"SIP: Integrated Ecosystem Management in Four Representatitive Landscapes of Senegal, Phase 2",GEF Trust Fund,Closed,2007,2011,Senegal,Atlantic Ocean,,"UN Development Programme; Ministry of Environment (ME) with the cooperation of DPN, DEFCCS,;DCERP; and Ministry of Fisheries","US$ 11,429,000","GEF - US$ 3,640,000, Co-financing US$ 7,789,000",Marine Protected Areas (PA) management,,https://www.thegef.org/project/sip-integrated-ecosystem-management-four-representative-landscapes-senegal-phase-2
190,Demonstrating the Development and Implementation of a Sustainable island Resource Management Mechanism in a Small island Developing State,GEF Trust Fund,Closed,2007,2013,Antigua and Barbuda,Atlantic Ocean,,"UN Development Programme; Division of Environment, Ministry of Tourism and Environment, Ministry of Works, Transport and Environment","US$ 7,896,330","GEF - US$ 2,995,930, Co-financing US$ 4,703,330",Marine Protected Areas (PA) management,,https://www.thegef.org/project/demonstrating-development-and-implementation-sustainable-island-resource-management
191,"Demonstration of Community-based management of Seagrass Habitats in Trikora Beach East Bintan, Riau Archipelago Province, Indonesia",GEF Trust Fund,Closed,2007,2010,Indonesia,Pacific Ocean,,UN Environment Programme; Research Center for Oceanography (LIPI); Indoensian Institute of Sciences,"US$ 789,750","GEF - US$ 397,800, Co-financing US$ 391,950",Marine Protected Areas (PA) management,,https://www.thegef.org/project/demonstration-community-based-mgt-seagrass-habitats-trikora-beach-east-bintan-riau
192,CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative,GEF Trust Fund,Closed,2008,2016,,Pacific Ocean,,"Asian Development Bank, in-contry government agencies, inter-governmental agencies and NGOs","US$ 40,668,182","GEF - US$ 11,218,182, Co-financing US$ 28,950,000",Marine Protected Areas (PA) management,,https://www.thegef.org/project/cti-coastal-and-marine-resources-management-coral-triangle-southeast-asia-under-coral
193,"Demonstration of Sustainable Management of Coral Reef Resources in the Coastal Waters of Ninh Hai District, Ninh Thuan Province, Viet Nam",GEF Trust Fund,Closed,2008,2014,Vietnam,Pacific Ocean,,"Institute of Oceanography, Vietnam;  UN Environment Programme","US$ 935,186","GEF - US$ 406,900, Co-financing US$ 528,286",Marine Protected Areas (PA) management,,https://www.thegef.org/project/demonstration-sustainable-management-coral-reef-resources-coastal-waters-ninh-hai-district
194,Applying an Ecosystem-based Approach to Fisheries Management: Focus on Seamounts in the Southern Indian Ocean,GEF Trust Fund,Closed,2008,2012,Global,Global,,UN Development Programme; IUCN-World Conservation Union,"US$ 5,760,000","GEF - US$ 950,000, Co-financing US$ 4,760,000",Fisheries Management,,https://www.thegef.org/project/applying-ecosystem-based-approach-fisheries-management-focus-seamounts-southern-indian-ocean
195,Effective Conservation and Sustainable Use of Mangrove Ecosystems in Brazil,GEF Trust Fund,Closed,2008,2013,Brazil,Atlantic Ocean,,UN Development Programme; Ministry of Environment (MMA),"US$ 20,675,692","GEF - US$ 5,000,000, Co-financing US$ 15,345,692",Conservation,,https://www.thegef.org/project/effective-conservation-and-sustainable-use-mangrove-ecosystems-brazil
196,Tamakautoga coral pandanus garden,UNDP,Closed (before completion),2008,2010,Samoa,Pacific Ocean,,Grantee: Vaka Tamakautoga Society,"US$ 12,000","Grant amount: US$ 23,625; Co-financing in-kind: US$ 12,000",Conservation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=18624&Itemid=272
197,Salesatele Village-based fisheries management project,UNDP,Closed,2008,2010,Samoa,Pacific Ocean,,Grantee: Alii ma Faipule Salesatele Village - Council of Chiefs,"US$ 38,610","Grant amount: US$ 23,640; Co-financing cash: US$ 5,000; Co-financing in-kind: US$ 9,970",Fisheries Management,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12492&Itemid=272
198,Sustainable Management of the Bay of Bengal Large Marine Ecosystem (BOBLME),Ministry of the Environment and Energy Section for natural resources (Sweden),Closed,2009,2015,,Indian Ocean,,,"US$ 1,110,000",Collaboration with GEF and FAO,Marine Protected Areas (PA) management,,
199,CTI Arafura and Timor Seas Ecosystem Action Programme (ATSEA) - under the Coral Triangle Initiative,GEF Trust Fund,Closed,2009,2014,,Pacific Ocean,,"UN Development Programme; Ministry of Marine Affairs and Fisheries, Indonesia (BRKP); in cooperatioin with Department of Agriculture, Fisheries and Forestry (DAFF) (Timor Leste), Dep. Of Environment &amp; Water Resources (DEW) (Australia) in collobaration with UNOPS","US$ 8,898,047","GEF - US$ 2,500,000, Co-financing US$ 6,248,047",Marine Protected Areas (PA) management,,https://www.thegef.org/project/cti-arafura-and-timor-seas-ecosystem-action-programme-atsea-under-coral-triangle-initiative
200,CTI West Pacific-East Asia Oceanic Fisheries Management Project - under the Coral Triangle Initiative,GEF Trust Fund,Closed,2009,2013,,Pacific Ocean/ Indian Ocean,,UN Development Programme; UNOPS/ WCPFC,"US$ 4,667,431","GEF - US$ 925,000, Co-financing US$ 3,667,431",Marine Protected Areas (PA) management,,https://www.thegef.org/project/cti-west-pacific-east-asia-oceanic-fisheries-management-project-under-coral-triangle
201,Ensuring the survival of Coastal Coral diversity in the Southern Coastline of Sri Lanka,UNDP,Closed,2009,2011,Sri Lanka,Indian Ocean,,Grantee: Ocean Resource Conservation Association (ORCA),"US$ 40,697","Grant Amount: US$ 38,000; Co-financing cash: US$ 1,193.65; Co-financing in-kind: US$ 1,504.40",Conservation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13975&Itemid=272
202,"Supporting Belize's  National Protected Areas  System through  Advocacy, Outreach and  informing Policy (Core  Support Grant)",Oak Foundation,Closed,2011,2015,Belize,Pacific Ocean,,,"US$ 385,400",,Policy and Legislation (PL),,www.apamo.net
203,Securing the Belize  Barrier Reef from the  Impacts of Oil by  advocating for Belize's  offshore and Upland  Protected Areas and  Important Watersheds as  Off-limits to Oil  Exploration,Oak Foundation,Closed,2012,2015,Belize,Pacific Ocean,,,"US$ 425,000",,Marine Protected Areas (PA) management,,
204,Fostering Financial  Sustainability of Oak  Foundation Grantees in  Belize,Oak Foundation,Progress Report,2016,2016,Belize,Pacific Ocean,,,"US$ 50,000",,Monitoring and Research,,
205,Strategic Planning for  Global Small Scale  Fisheries Programme,Oak Foundation,Monitoring,2016,2017,USA,Atlantic Ocean/ Pacific Ocean,,,"US$ 50,000",,Fisheries Management,,http://www.ceaconsulti..
