ID,Project Title,Donor(s),Category,Status,Start Date,End Date,Country Implementation (New),Ocean Region,Beneficiaries ,Implementing Agency,Total Project Cost,Primary Funding,Co-funding,Ecosystem,Web Link,Further Information
115,Coral Reef Rehabilitation and Management Project II,World Bank,Marine Protected Areas Management,Closed,2004,2011,Indonesia,East Asian Sea,Government of Indonesia,Government of Indonesia,USD 7500000,USD 7500000,USD 0,Coral Reef,http://projects.worldbank.org/P071318/coral-reef-rehabilitation-management-project-ii?lang=en&tab=financial,Data not available
14,Coral Reef Restoration - conservation and monitoring programme at Rumassala Galle by Nature Conservation Group,Global Environment Facility (GEF) Small Grants Programme; United Nations Development Programme (UNDP),Communication and Awareness; Promoting sustainable living and alternative livelihoods,Closed,2003,2005,Sri Lanka,South Asian Seas,Nature Conservation Group,Nature Conservation Group,USD 41239,USD 31995,USD 9244,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=402&Itemid=272,Data not available
47,Coral Reef Restoration and Establishment of Sustainable Community- based Ornamental Fish Business,Global Environment Facility (GEF) Small Grants Programme,Conservation and Sustainability; Fisheries Management and Governance,Closed,2002,2004,Indonesia,East Asian Sea,Yayasan Bahtera Nusantara,Yayasan Bahtera Nusantara,USD 58717,USD 45000,USD 13717,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=6603&Itemid=272,Data not available
114,Coral Reef Targeted Research and Capacity Building for Management Project,World Bank,Monitoring and Research,Closed,2004,2010,Australia,East Asian Sea; Pacific,University of Queensland,University of Queensland,USD 22300000,USD 11000000,USD 11300000,Coral Reef,http://projects.worldbank.org/P078034/coral-reef-targeted-research-capacity-building-management-project?lang=en&tab=details,Data not available
265,Coral reefs in a changing world - ecosystemic services from coral reefs : public tools for decision making in New Caledonia and French Polynesia,European Commission through Biodiversity and Ecosystem Services in Territories of European Overseas Initiative (BEST),Policy and Legislation,Closed,2011,2014,France,Pacific,Marine Protected Areas (MPA) Governance Network,Marine Protected Areas Governance Network; European Commision through Biodiversity and Ecosystem Services in Territories of European overseas Initiative (BEST),USD 199289,Data not available,Data not available,Coral Reef,Data not available,Data not available
10,Coral Reefs Protection in the South of Red Sea,United Nations Development Programme (UNDP),Communication and Awareness; Conservation and Sustainability,Closed,2002,2005,Egypt,Red Sea and Gulf of Aden,The Environmental Promoters Association in Alexandria,The Environmental Promoters Association in Alexandria,USD 29776,USD 26665,USD 3111,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5983&Itemid=272,Data not available
432,Coral Reefscape Ecology and Mapping (CREM),European Commission Framework Programme 7,Conservation and Sustainability,Closed,2010,2013,France; United States of America; France,Pacific,Centre National de la Recherche Scientifique (CNRS),Centre National de la Recherche Scientifique (CNRS),USD 99750,USD 99750,USD 0,Coral Reef,https://cordis.europa.eu/project/rcn/96760_en.html,Data not available
238,Coral replanting and restoration project by Wildlife Research and Conservation Trust,Global Environment Facility (GEF) Small Grants Programme,Conservation and Sustainability,Closed,2010,2011,Sri Lanka,South Asian Seas,Wildlife Research and Conservation Trust,Wildlife Research and Conservation Trust,USD 353237,USD 10875,USD 342362,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=16278&Itemid=272,Data not available
263,Coral resilience investigated in the field and via a sea anemone model system,Gordon and Betty Moore Foundation,Monitoring and Research,Closed,2010,2013,United States of America,Pacific,Stanford University - School of Medicine,Stanford University School of Medicine,USD 2446138,Data not available,Data not available,Coral Reef,https://www.moore.org/grant-detail?grantId=GBMF2629,Data not available
60,Coral Restoration and Fish Stock Rehabilitation of Marine Reserves,Global Environment Facility (GEF) Small Grants Programme,Conservation and Sustainability; Fisheries Management and Governance,Closed,2007,2009,Samoa,Pacific,Alii Ma Faipule - Tafagamanu,Alii Ma Faipule - Tafagamanu,USD 28386,USD 16600,USD 11786,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12483&Itemid=272,Data not available
475,Coral Social Marketing Campaign in Laolao Bay - Northern Marianas Islands,National Fish and Wildlife Foundation (NOAA Directed Projects),Communication and Awareness; Conservation and Sustainability,Closed,2010,Data not available,United States of America,Wider Caribbean,SeaWeb,SeaWeb,USD 180000,USD 180000,USD 0,Coral Reef,http://www.nfwf.org/whatwedo/grants/search/pages/grant-profile.aspx?EGID=25252,Work with local partners to develop a social marketing campaign for the Commonwealth of the Northern Mariana Islands to promote the conservation of coral in Laolao Bay.
437,COral Surface MICrolayer: production and dynamics of mucus-associated microbial communities (COSMIC),European Commission Framework Programme 7,Monitoring and Research,Closed,2013,2015,Data not available,Data not available,Universitat Wien,Universitat Wien,USD 239654,USD 239654,USD 0,Coral Reef,https://cordis.europa.eu/project/rcn/105004_en.html,Region of interest/study not specified.
321,Coral Triangle Initiative: Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative Phase III (COREMAP-CTI III),Global Environment Facility (GEF) Trust Fund,Promoting sustainable living and alternative livelihoods,Active,2013,Data not available,Indonesia,East Asian Sea,Data not available,Asian Development Bank; Ministry of Marine Affairs and Fisheries (MMAF),USD 64200000,USD 8200000,USD 56000000,Coral Reef,https://www.thegef.org/project/cti-coral-reef-rehabilitation-and-management-program-coral-triangle-initiative-phase-iii,Data not available
7,Coral Reef Rehabilitation Research & Conservation,Global Environment Facility (GEF) Small Grants Programme,Monitoring and Research,Closed,1995,1996,The Hashemite Kingdom of Jordan,Red Sea and Gulf of Aden,Jordan Royal Ecological Diving Society,Jordan Royal Ecological Diving Society,USD 90000,USD 50000,USD 40000,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=1003&Itemid=272,Data not available
430,Corals and global warming: The Mediterranean versus the Red Sea [CoralWarm],European Commission Framework Programme 7,Climate Change Resilience; Conservation and Sustainability,Closed,2010,2016,Italy; Israel,Mediterranean; Red Sea and Gulf of Aden,Bar Ilan University; Alma Mater StudioRum - Universita di Bologna,Bar Ilan University; Alma Mater StudioRum - Universita di Bologna,USD 4431602,USD 4431602,USD 0,Coral Reef,https://cordis.europa.eu/project/rcn/94344_en.html,Data not available
51,Corals and Their Relationship with the Indigenous (A Study of the Persion Gulf Marine Ecology and The Local Community),Global Environment Facility (GEF) Small Grants Programme,Communication and Awareness,Closed,2001,2004,Iran Islamic Republic of,ROPME Sea Area,Abie-e-Bidar Non-Governmental Organisation,Abie-e-Bidar Non-governmental Organisation,USD 71173,USD 25000,USD 46173,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5296&Itemid=272,Data not available
180,Cordelia Banks: Preserving and Connecting a Coral Oasis,Oak Foundation,Conservation and Sustainability,Closed,2011,2016,Honduras,Wider Caribbean,Ministry of Tourism,Coral Reef Alliance,USD 632287,USD 370700,USD 261587,Coral Reef,https://coral.org/newly-protected-honduras-reefs-are-a-divers-dream/,Data not available
194,Creating a Marine Park in the Cook Islands,Oceans5,Communication and Awareness,Closed,2013,2016,Cook Islands,Pacific,Communities of Cook Islands; Local Conservation Organisation,The Cook Islands,USD 1145000,Data not available,Data not available,Coral Reef,http://oceans5.org/project/protecting-the-cook-islands-2/,Data not available
193,Creating a World-class Marine Science Research Center in Turneffe,Oak Foundation,Monitoring and Research,Closed,2011,2015,Belize,Wider Caribbean,Government of Belize,University of Belize,USD 485000,USD 200000,USD 285000,Coral Reef,https://www.indiegogo.com/projects/oceanic-society-belize-marine-research-projects#/,Data not available
246,Creating of the Commitment and Wa Pia-Pia Community Action,Global Environment Facility (GEF) Small Grants Programme,Communication and Awareness,Closed,2012,2012,Indonesia,Pacific,KINATE,KINATE,USD 8151,USD 3000,USD 5151,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=18079&Itemid=272,Achieved up to 95 percentage cover coral in 2015
171,Creative Conservation: Invigorating Environmental Education and Outreach in the Gulf of Honduras,Oak Foundation; New England Biolabs Foundation,Conservation and Sustainability,Closed,2014,2016,Belize; Guatemala,Wider Caribbean,Communities of Honduras,ArtCorps,USD 258500,USD 182500,USD 76000,Coral Reef,http://creativeactioninstitute.org/about-us/funding-partners/oak-foundation/,Data not available
128,CTI Arafura and Timor Seas Ecosystem Action Programme (ATSEA) - under the Coral Triangle Initiative,Global Environment Facility (GEF) Trust Fund,Marine Protected Areas Management,Closed,2009,2014,Indonesia; Malaysia; Papua New Guinea; Philippines; Solomon Islands; Timor-Leste; Micronesia Federated States of; Fiji; Palau and Vanuatu,East Asian Sea; Pacific,ASIA Coral Triangle Program,United Nations Development; Ministry of Marine Affairs and Fisheries Indonesia (BRKP); Department of Agriculture Fisheries and Forestry (DAFF) (Timor Leste); Department of Environment Water Resources (DEW) (Australia); United Nations for Project Services (UNOPS),USD 8898047,USD 2650000,USD 6248047,Coral Reef,https://www.thegef.org/project/cti-arafura-and-timor-seas-ecosystem-action-programme-atsea-under-coral-triangle-initiative,Data not available
122,CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative,Global Environment Facility (GEF) Trust Fund,Marine Protected Areas Management,Closed,2008,2016,Indonesia; Malaysia; Papua New Guinea; Philippines; Solomon Islands; Timor-Leste; Micronesia Federated States of; Fiji; Palau and Vanuatu,East Asian Sea; Pacific,Government of Indonesia; Government of Malaysia; Government of Philippines,Asian Development Bank; in-contry government agencies; inter-governmental agencies and non-governmental organisations,USD 40668182,USD 11718182,USD 28950000,Coral Reef,https://www.thegef.org/project/cti-coastal-and-marine-resources-management-coral-triangle-southeast-asia-under-coral,Data not available
129,CTI West Pacific-East Asia Oceanic Fisheries Management Project - under the Coral Triangle Initiative,Global Environment Facility (GEF) Trust Fund,Marine Protected Areas Management,Closed,2009,2013,Indonesia; Malaysia; Papua New Guinea; Philippines; Solomon Islands; Timor-Leste; Micronesia Federated States of; Fiji; Palau and Vanuatu,East Asian Sea; Pacific,ASIA Coral Triangle Program,United Nations Development Programme (UNDP); United Nations for Project Services (UNOPS); Western and Central Pacific Fisheries Commission (WCPFC),USD 4667431,USD 1000000,USD 3667431,Coral Reef,https://www.thegef.org/project/cti-west-pacific-east-asia-oceanic-fisheries-management-project-under-coral-triangle,Data not available
162,Decontamination of Mangrove Natural Reserves in Red Sea,Global Environment Facility (GEF) Small Grants Programme,Conservation and Sustainability,Closed,2008,2011,Egypt,Red Sea and Gulf of Aden,American Muslim Foundation International,American Muslim Foundation International,USD 59090,USD 30000,USD 29090,Mangrove,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13233&Itemid=272,Data not available
120,Demonstrating the Development and Implementation of a Sustainable Island Resource Management Mechanism in a Small island Developing State,Global Environment Facility (GEF) Trust Fund,Marine Protected Areas Management,Closed,2007,2013,Antigua and Barbuda,Wider Caribbean,Coastal regions of Antigua and Barbuda,United Nations Development Programme (UNDP);Division of Environment; Ministry of Tourism and Environment; Ministry of Works Transport and Environment,USD 7896330,USD 3193030,USD 4703300,Mangrove,https://www.thegef.org/project/demonstrating-development-and-implementation-sustainable-island-resource-management,Data not available
121,Demonstration of Community-based management of Seagrass Habitats in Trikora Beach East Bintan Riau Archipelago Province Indonesia,Global Environment Facility (GEF) Trust Fund,Marine Protected Areas Management,Closed,2007,2010,Indonesia,East Asian Sea,Trikora Beach; East Bintan; Riau Archipelago Province Indonesia ,United Nations Environment Programme (UNDP); Research Center for Oceanography (LIPI); Indoensian Institute of Sciences,USD 789750,USD 397800,USD 391950,Seagrass,https://www.thegef.org/project/demonstration-community-based-mgt-seagrass-habitats-trikora-beach-east-bintan-riau,Data not available
258,Demonstration of Eco-restoration and Eco-aquaculture in Mangrove Forest in the Beibu Gulf of Guangxi,Global Environment Facility (GEF) Small Grants Programme,Monitoring and Research,Closed,2011,2013,China,North-West Pacific; East Asian Sea,Fangchenggang Mangrove Protection Association,Fangchenggang Mangrove Protection Association,USD 44946,USD 42798,USD 2148,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=17277&Itemid=272,Data not available
123,Demonstration of Sustainable Management of Coral Reef Resources in the Coastal Waters of Ninh Hai District Ninh Thuan Province Viet Nam,Global Environment Facility (GEF) Trust Fund,Marine Protected Areas Management,Closed,2008,2014,Viet Nam,East Asian Sea,Ninh Thuan province (hosted by Ninh Thuan Department of Science and Technology),Institute of Oceanography Vietnam; United Nations Environment,USD 935186,USD 406900,USD 528286,Coral Reef,https://www.thegef.org/project/demonstration-sustainable-management-coral-reef-resources-coastal-waters-ninh-hai-district,Data not available
183,Design For Sustainable Fish - Outreach (Phase 2),Oak Foundation,Fisheries Management and Governance,Closed,2012,2012,United States of America,Pacific,California Environmental Associates,California Environmental Associates,USD 373530,USD 120780,USD 252750,Coral Reef,http://oakfnd.org/grant-database-env.html,Data not available
453,Developing a Model for Strategic Adaptive Management of MPAs in the Western Indian Ocean,Western Indian Ocean Marine Science Association (WIOMSA) Trust,Marine Protected Areas Management,Closed,2013,2016,Kenya; Tanzania,Eastern Africa,Kenya Wildlife Services; Marine Parks and Reserves Unit of Tanzania; Calpoly University (USA) and OneReef (USA). The Project implementation sites include four marine protected areas in Kenya (Kisite; Mombasa; Malindi and Watamu and two in Tanzania (Mafia and Tanga,Kenya Wildlife Services,USD 599950,USD 479950,USD 120000,Coral Reef; Mangrove; Seagrass,"https://www.wiomsa.org/ongoing-project/developing-a-model-for-strategic-adaptive-management-of-mpas-in-the-western-indian-ocean/","The goal of this project is to develop an MPA management system that is responsive to changing environmental conditions and ensures effective management of MPAs in WIO for achievement of MPA goals. To attain this goal the project has three objecties which are to:1) Assess the use of scientific information in MPA management &decision making in the WIO 2) Assess the impact of SAM on management effectiveness of MPAs in the WIO and 3) Develop and disseminate SAM knowledge products"
303,Developing Integrated Solutions for Sustainable Fisheries Management in the Honduran Caribbean,Oak Foundation,Fisheries Management and Governance,Active,2013,2016,Honduras,Wider Caribbean,Marine Stewardship Council,Centro de Ecologia Marina de Utila,USD 1495569,USD 350000,USD 1145569,Coral Reef,https://www.utilaecology.org,Data not available
477,Developing Strategies for Reef Restoration on Palmyra Atoll Following Invasion of Invasive Species,National Fish and Wildlife Foundation (Coral Reef Conservation Fund),Conservation and Sustainability,Active,2016,Data not available,United States of America,Pacific,University of California - San Diego,University of California - San Diego,USD 292467,USD 146233,USD 146233,Coral Reef,http://www.nfwf.org/whatwedo/grants/search/pages/grant-profile.aspx?EGID=53589,Coral Reef Conservation Fund
29,Development and management of sustainable coastal tourism project in southern Mozambique by developing an organizational framework on the coastal tourism sector in the three southern provinces of Mozambique (Inhambane / Gaza / Maputo),Global Environment Facility (GEF) Small Grants Programme,Promoting sustainable living and alternative livelihoods,Closed,2005,2007,Mozambique,Eastern Africa,Centro Terra Viva,Centro Terra Viva,USD 30400,USD 26400,USD 4000,Coral Reef; Mangrove,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9312&Itemid=272,Data not available
98,Development of a Marine Protected Area by setting up a Coral Garden in the inshore marine environment of Apai Village on Manono Island,Global Environment Facility (GEF) Small Grants Programme,Marine Protected Areas Management,Closed,2006,2008,Samoa,Pacific,Apai - Alii ma Faipule,Apai - Alii ma Faipule,USD 22681,USD 17241,USD 5440,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9187&Itemid=272,Data not available
42,Development program of community based sea management area in Hari Island,Global Environment Facility (GEF) Small Grants Programme,Conservation and Sustainability; Marine Protected Areas Management,Closed,2005,2006,Indonesia,East Asian Sea,Yayasan Bahari,Yayasan Bahari,USD 61366,USD 50000,USD 11366,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12681&Itemid=272,Data not available
331,Ecosystem Conservation and Management,World Bank,Conservation and Sustainability,Active,2016,2021,Sri Lanka,South Asian Seas,Government of Sri Lanka,Ministry of Tourism and Sports,USD 45000000,Data not available,Data not available,Coral Reef,http://projects.worldbank.org/P156021?lang=en,Data not available
452,Ecosystems improved for sustainable fisheries (ECOFISH) project,United States Agency for International Development (USAID),Conservation and Sustainability; Promoting sustainable living and alternative livelihoods,Closed,2012,2017,Philippines,Pacific,Government of the Philippines,Government of the Philippines,USD 16392566,Data not available,Data not available,Coral Reef,https://www.usaid.gov/philippines/energy-and-environment/ecofish,Data not available
144,Education And Awareness on Climate Change and Coastal Management And Use of Sustainable Renewable Energy on Akhamb Island,Global Environment Facility (GEF) Small Grants Programme,Climate Change Resilience,Closed,2009,2010,Vanuatu,Pacific,Vanuatu Renewable Energy and Power Association,Vanuatu Renewable Energy and Power Association,USD 46630,USD 37630,USD 9000,Coral Reef; Mangrove,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14002&Itemid=272,Data not available
200,Education and Organizing in Indigenous Maya Communities in Southern Belize in the Aftermath of Court of Appeals Judgment 2013,Oak Foundation,Communication and Awareness,Closed,2013,2014,Belize,Wider Caribbean,Government of Belize,Government of Belize; Julien Cho Society (JCS),USD 51871,USD 51871,Data not available,Coral Reef,Data not available,Data not available
125,Effective Conservation and Sustainable Use of Mangrove Ecosystems in Brazil,Global Environment Facility (GEF) Trust Fund,Conservation and Sustainability,Closed,2008,2013,Brazil,South-East Pacific,Brazilian Conservation Units,United Nations Development Programme (UNDP); Ministry of Environment (MMA),USD 20675692,USD 5330000,USD 15345692,Mangrove,https://www.thegef.org/project/effective-conservation-and-sustainable-use-mangrove-ecosystems-brazil,Data not available
77,Empowering Ornamental Fish and Coral Reef Fishermen in Pahawang Village (Pahawang Island Pasawaran District Lampung) Through The Development of Area Management for Sustainable Ornamental Fish Conservation,Global Environment Facility (GEF) Small Grants Programme,Conservation and Sustainability; Marine Protected Areas Management,Closed,2008,2009,Indonesia,East Asian Sea,Yayasan Alam Indonesia Lestari,Yayasan Alam Indonesia Lestari,USD 76422,USD 25000,USD 51422,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13355&Itemid=272,Data not available
142,Empowering the South East Marine Protected Area (SEMPA) fisher community through eco-tourism development,Global Environment Facility (GEF) Small Grants Programme,Fisheries Management and Governance,Closed,2009,2010,Mauritius,Eastern Africa,Association des Pecheurs du Parc Marin du Sud Rodrigues,Association des Pecheurs du Parc Marin du Sud Rodrigues,USD 67784,USD 49959,USD 17825,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14364&Itemid=272,Data not available
234,Empowerment of Coastal Community through Management of Marine Protected Areas (MPAs) and Sustainable Alternative Livelihoods in Ekas Bay East Lombok,Global Environment Facility (GEF) Small Grants Programme,Marine Protected Areas Management,Closed,2013,2015,Indonesia,East Asian Sea,Yayasan Laut Biru,Yayasan Laut Biru,USD 51948,USD 26000,USD 25948,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20022&Itemid=272,Data not available
204,Encouraging sustainable use of coral reef ecosystem goods and services and increased resilience to climate change in Small Island Developing States,Global Environment Facility (GEF) Small Grants Programme,Climate Change Resilience,Closed,2014,2015,Bahamas,Wider Caribbean,Bahamas Reef Environment Educational Foundation,Bahamas Reef Environment Educational Foundation,USD 275000,USD 150000,USD 125000,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20695&Itemid=272,Data not available
338,Engaging the community and building capacity for Coral Reef Restoration Alliance (CORALL),United Nations Development Programme (UNDP),Communication and Awareness,Active,2016,Data not available,Barbados,Wider Caribbean,Coral Reef Restoration Alliance (CORALL),Coral Reef Restoration Alliance (CORALL),USD 9180,USD 4900,USD 4280,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=24084&Itemid=272,Data not available
330,Enhancing Biodiversity Conservation and Sustenance of Ecosystem Services in Environmentally Sensitive Areas,Global Environment Facility (GEF) Trust Fund,Conservation and Sustainability,Active,2015,2020,Sri Lanka,South Asian Seas,Ministry of Environment,United Nations Development Programme; Ministry of Environment,USD 19376690,USD 2726690,USD 16650000,Mangrove,https://www.thegef.org/project/enhancing-biodiversity-conservation-and-sustenance-ecosystem-services-environmentally,To operationalize Environment Sensitive Areas (ESAs) as a mechanism for mainstreaming biodiversity management into development in areas of high conservation significance. At least 5% of Sri Lanka’s land area identified nationally for Environmentally Sensitive Area designation in national scale up plan. Populations of globally threatened species within Wilpattu and Kala Wewa ESAs maintained indicating effective ecosystems management and human-wildlife conflict mitigation (indicators species selected Elephas maximus. Panthera pardus. and Sousa chinensis). 100% critical habitats are maintained within Wilpattu and Kala Wewa ESAs are maintained for connectivity and resilience (Salt Marsh. Mangrove forests. Riverine forests. Moist Mixed Evergreen Forest. Scrub on floodplains).
59,Enhancing Community Management of Marine Resources through Coral Reef Monitoring in Vanuatu,Global Environment Facility (GEF) Small Grants Programme; United Nations Development Programme (UNDP),Marine Protected Areas Management; Promoting sustainable living and alternative livelihoods,Closed,2008,2009,Vanuatu,Pacific,Reef Check Vanuatu,Reef Check Vanuatu,USD 31863,USD 25948,USD 5915,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12914&Itemid=272,Data not available
389,Enhancing Mangrove and Coral Ecosystems via Active Reforestation/Restoration Efforts and Structured Training Activities in the Stann Creek District,Global Environment Facility (GEF) Small Grants Programme,Communication and Awareness,Active,2014,2017,Belize,Wider Caribbean,Fragments of Hope Ltd,Fragments of Hope Ltd,USD 10271,USD 25000,USD 77711,Coral Reef; Mangrove,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22538&Itemid=272,Data not available
27,Enhancing Sea Turtle Conservation in Kenya,Global Environment Facility (GEF) Small Grants Programme,Conservation and Sustainability,Closed,2003,2005,Kenya,Eastern Africa,Kenya sea Turtle Conservation Committee,Kenya Sea Turtle Conservation Committee,USD 480000,USD 48000,USD 0,Coral Reef; Seagrass,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=6478&Itemid=272,Data not available
310,Enhancing the Climate Resilience of Coastal Resources and Communities,Climate Investment Fund (World Bank),Climate Change Resilience,Active,2013,2018,Samoa,Pacific,Government of Samoa - Ministry of Finance,Ministry of Natural Resources and Environment,USD 26600000,USD 14600000,USD 12000000,Coral Reef; Mangrove,"http://projects.worldbank.org/P126596?lang=en",The objective of this project is to support coastal communities to become more resilient to climate variability and change.
355,Enhancing the resilience of Petite Martinique Fishers to the impacts of climate change - To protect livelihoods and improve food security,Global Environment Facility (GEF) Small Grants Programme,Climate Change Resilience,Active,2015,2017,Grenada,Wider Caribbean,Petite Martinique Fishermen Co-Operative,Petite Martinique Fishermen Co-Operative,USD 50000,USD 50000,USD 0,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23412&Itemid=272,Data not available
130,Ensuring the survival of Coastal Coral diversity in the Southern Coastline of Sri Lanka between Tangalla and Rumassala,United Nations Development Programme (UNDP),Conservation and Sustainability,Closed,2009,2011,Sri Lanka,South Asian Seas,Government of Sri Lanka,Ocean Resource Conservation Association (ORCA),USD 40698,USD 38000,USD 2698,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13975&Itemid=272,Data not available
8,Environment Program Support Project,Global Environment Facility (GEF) Trust Fund,Marine Protected Areas Management,Closed,1996,2003,Madagascar,Eastern Africa,United Nations Development Programme (UNDP),United Nations Development Programme (UNDP); National Association for the Management of Protected Areas(ANGAP); National Environment Office (ONE); Directorate of Water and Forests (DEF),USD 155000000,USD 20800000,USD 134200000,Coral Reef,https://www.thegef.org/project/environment-program-support-project,Data not available
168,Environmental baseline study of Panay and Negros Islands,Global Environment Facility (GEF) Small Grants Programme,Monitoring and Research,Closed,2007,2008,Philippines,East Asian Sea,HARIBON Foundation Inc.,HARIBON Foundation Inc.,USD 64947,USD 50000,USD 14947,Coral Reef; Mangrove; Seagrass,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=11550&Itemid=272,Data not available
49,Environmental Impact Assessment of SGP Artificial Reef Pyramids for Future Replication and Expansion,Global Environment Facility (GEF) Small Grants Programme,Monitoring and Research,Closed,2005,2009,Iran Islamic Republic of,ROPME Sea Area,Salakh Community Organisation - Council of Salakh Village,Salakh Community Organisation - Council of Salakh Village,USD 23530,USD 21530,USD 2000,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9289&Itemid=272,Data not available
304,Establishing a Network of Fish Refuges in Quintana Roo Mexico through Multi-sector Collaboration,Oak Foundation,Fisheries Management and Governance,Active,2013,2016,Mexico,Wider Caribbean,Local fishing communities; civil society organisations,Comunidad y Biodiversidad (COBI),USD 1049122,USD 300000,USD 749122,Coral Reef,https://www.cobi.org.mx,Data not available
285,Establishing a new Marine Reserve on Turneffe Atoll Belize,Fauna & Flora International,Conservation and Sustainability; Marine Protected Areas Management,Closed,2012,2017,Belize,Wider Caribbean,Fisheries resource users,Ministry of Forestry Fishery and Sustainable Development,USD 1047200,Data not available,Data not available,Coral Reef,http://www.fisheries.gov.bz/wp-content/uploads/2015/10/Turneffe-Atoll-Management-Plan-2012.pdf,Data not available
196,Expanding Pacific Remote Islands Monument,Oceans5; Center for American Progress,Conservation and Sustainability,Closed,2014,2015,Pacific Islands,Pacific,Pacific Remote Islands National Monument (expanded protecton),Center for American Progress (CAP),USD 40000,Data not available,Data not available,Coral Reef,http://oceans5.org/project/expanding-pacific-remote-islands-monument/,Data not available
141,Fagamalo Community based adaption against flooding and sea level rise,Global Environment Facility (GEF) Small Grants Programme,Climate Change Resilience,Closed,2009,2011,Samoa,Pacific,Alii ma Faipule Fagamalo,Alii ma Faipule Fagamalo,USD 75000,USD 25000,USD 50000,Coral Reef,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14814&Itemid=272,Data not available
151,Fasitootai: Reduce impacts of climate change driven erosion through protection and conservation of Mangroves eco-systems and Coral Reefs,Global Environment Facility (GEF) Small Grants Programme,Climate Change Resilience,Closed,2009,2011,Samoa,Pacific,Alii ma Faipule - Fasitootai,Alii ma Faipule - Fasitootai,USD 150000,USD 50000,USD 100000,Coral Reef; Mangrove,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14767&Itemid=272,Data not available
280,Final Report: Lessons from the US Coral Triangle Initiative Support Program,Conservation International; World Wildlife Fund (WWF); Nature Conservancy; United States Agency for International Development (USAID); Coral Triangle Support Partnership,Conservation and Sustainability,Closed,2014,2014,Philippines; Indonesia; Timor Leste; Solomon Islands,Pacific; East Asian Sea,Coral Triangle Initiative Support Program,United States Agency for International Development (USAid); Coral Triangle Support Partnership,USD 40000000,Data not available,Data not available,Coral Reef,http://www.coraltriangleinitiative.org/sites/default/files/resources/LP%20report_FINAL.pdf,Data not available
329,First South West Indian Ocean Fisheries Governance and Shared Growth Project (SWIOFish 1),Global Environment Facility (GEF) Trust Fund,Fisheries Management and Governance,Active,2015,2021,Comoros; Mozambique; Tanzania,Eastern Africa,Government of Comoros; Government of Mozambique; Government of Tanzania,World Bank; Indian Ocean Commission,USD 72899471,USD 15500000,USD 57399471,Coral Reef,"https://www.thegef.org/project/first-south-west-indian-ocean-fisheries-governance-and-shared-growth-project-swiofish-1",Catalyze Multistate Cooperation to Rebuild Marine Fisheries and Reduce Pollution of Coasts and Large Marine Ecosystems (LMEs) while Considering Climatic Variability and Change
366,Fisheries management and mangrove conservation project for Honda Bay - Puerto Princesa City,Global Environment Facility (GEF) Small Grants Programme,Fisheries Management and Governance,Active,2012,2013,Philippines,East Asian Sea,Honda Bay Boatowners Association Inc (HOBBAI),Honda Bay Boatowners Association Inc (HOBBAI),USD 49632,USD 49632,USD 0,Mangrove,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=18136&Itemid=272,Data not available
